EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
638927,LOGAN CO.,ELKADER,05/30/2016,0,Flood, , ,0,0,0,0,KS,CST-6, ,106425,C,109,GLD,0,0,Social Media,Heavy Rain, , ,10,N,10,N,ELKADER,38.9307,-100.8782,38.9295,-100.8705,"A photo sent in the day after the heavy rainfall occurred showed flood waters were still over the road in two locations, just west and just south of the CR Quail/CR 430 intersection where the Plum Creek crosses under the road.","Prolonged heavy rainfall of around two inches fell over the flash flood area the previous night. However the corridor of heavy rainfall followed the channel of Plum Creek upstream, further aiding in flooding downstream and causing the flooding from last night to continue into the morning.",1
638099,JOHNSON CO.,EDGERTON,05/30/2016,1245,Thunderstorm Wind,70.00, ,0,0,10000,0,KS,CST-6,EG,106254,C,91,EAX,0,0,911 Call Center, , , ,2,N,2,N,EDGERTON,38.8,-95,38.8,-95,"A 40 foot by 80 foot barn was destroyed by a microburst near Edgerton. Nearby power poles were also heavily damaged and 8 to 10 inch tree limbs were also torn off of trees.","While other scattered severe storms occurred this day in nearby Missouri, a single downburst caused some damage to a pole barn near Edgerton, Kansas. Power poles were torn down and the barn sustained some significant damage.",2
634252,CHEYENNE CO.,ST FRANCIS,05/30/2016,1522,Thunderstorm Wind,52.00, ,0,0,0,0,KS,CST-6,EG,105739,C,23,GLD,0,0,Emergency Manager, , , ,0,N,0,N,ST FRANCIS,39.77,-101.8,39.77,-101.8,"St. Francis lost power for an unknown period of time due to the thunder winds.","A line of strong to severe thunderstorms moved east through Northwest Kansas during the late afternoon and through the evening.  Wind speeds around 60 MPH were reported along the leading edge of the line of storms.  The winds caused St. Francis to lose power during the evening.",3
634246,RAWLINS CO.,ATWOOD MUNI ARPT,05/30/2016,1859,Thunderstorm Wind,50.00, ,0,0,0,0,KS,CST-6,MG,105739,C,153,GLD,0,0,AWOS, , , ,1,NW,1,NW,ATWOOD MUNI ARPT,39.8401,-101.0449,39.8401,-101.0449,"","A line of strong to severe thunderstorms moved east through Northwest Kansas during the late afternoon and through the evening.  Wind speeds around 60 MPH were reported along the leading edge of the line of storms.  The winds caused St. Francis to lose power during the evening.",4
634247,THOMAS CO.,BREWSTER,05/30/2016,1903,Thunderstorm Wind,52.00, ,0,0,0,0,KS,CST-6,EG,105739,C,193,GLD,0,0,Trained Spotter, , , ,1,S,1,S,BREWSTER,39.3619,-101.3794,39.3619,-101.3794,"The winds lasted three to four minutes.","A line of strong to severe thunderstorms moved east through Northwest Kansas during the late afternoon and through the evening.  Wind speeds around 60 MPH were reported along the leading edge of the line of storms.  The winds caused St. Francis to lose power during the evening.",5
639697,HAMILTON CO.,KENDALL,05/30/2016,2040,Hail,1.00, ,0,0,0,0,KS,MST-7, ,106579,C,75,DDC,0,0,Public, , , ,4,N,4,N,KENDALL,37.99,-101.54,37.99,-101.54,"The hail covered the ground.","An MCS moved into the area from Colorado producing some severe weather.",6
634250,GRAHAM CO.,(HLC)HILL CITY MUNI,05/30/2016,2100,Thunderstorm Wind,54.00, ,0,0,0,0,KS,CST-6,MG,105739,C,65,GLD,0,0,ASOS, , , ,0,SSW,0,SSW,(HLC)HILL CITY MUNI,39.3751,-99.832,39.3751,-99.832,"","A line of strong to severe thunderstorms moved east through Northwest Kansas during the late afternoon and through the evening.  Wind speeds around 60 MPH were reported along the leading edge of the line of storms.  The winds caused St. Francis to lose power during the evening.",7
639698,GRAY CO.,MONTEZUMA ARPT,05/31/2016,35,Hail,0.88, ,0,0,0,0,KS,CST-6, ,106579,C,69,DDC,0,0,Emergency Manager, , , ,8,ENE,8,ENE,MONTEZUMA ARPT,37.5,-100.34,37.5,-100.34,"","An MCS moved into the area from Colorado producing some severe weather.",8
633767,PHILLIPS CO.,PHILLIPSBURG,06/03/2016,1616,Hail,0.88, ,0,0,0,0,KS,CST-6, ,105601,C,147,GID,0,0,Public, , , ,5,E,5,E,PHILLIPSBURG,39.75,-99.2259,39.75,-99.2259,"","Late on this Friday afternoon and early evening, a pair of isolated, southeast-tracking severe storms with transient supercell characteristics developed along a cold front within this six-county North Central Kansas area, yielding a handful of penny to golf ball size hail reports and one marginally-severe wind report within Phillips, Osborne and Smith counties. ||The first of these storms started bubbling over northeastern Phillips County around 4 p.m. CDT and eventually intensified to severe levels between Phillipsburg and Kirwin, resulting in hail up to half dollar size during the 5-6 p.m. CDT time frame. After briefly weakening as it approached northwestern Osborne County, this storm re-intensified over southwestern portions of the county between 6:30-7:30 pm. CDT, dropping quarter size stones north of Natoma before exiting the local area southward into central Kansas. The second storm to affect the local area initially breached severe limits in far south central Nebraska before entering northeastern Smith County around 6 p.m. CDT. It remained severe for a short while longer as it tracked through rural areas between the state line and Lebanon, producing penny to golf ball size hail and estimated 60 MPH winds. By 7 p.m. CDT, this storm had weakened and soon dissipated over Jewell County. These were the only two storms to affect this North Central Kansas  area on this day, and the remainder of the evening/night remained storm-free. In the mid-upper levels, the main driving force for this event was a broad shortwave trough sinking southeast across the Dakotas into eastern Nebraska over the course of the afternoon and evening. This wave was embedded within strengthening northwesterly flow aloft, with the Central Plains residing on the downstream side of a pronounced western CONUS ridge. At the surface, the aforementioned cold front extended along a line from southwest Kansas to northeast Nebraska around the time of storm development, trailing well-southward from a weak low pressure center in eastern North Dakota. Near and ahead of this boundary, modestly-unstable conditions were noted over North Central Kansas as temperatures warmed into the mid-80s F and dewpoints averaged in the upper-50s to low-60s, promoting mixed-layer CAPE up to around 1500 J/kg in the presence of deep-layer wind shear up to 35 knots.",9
633768,PHILLIPS CO.,PHILLIPSBURG,06/03/2016,1620,Hail,1.00, ,0,0,0,0,KS,CST-6, ,105601,C,147,GID,0,0,Public, , , ,5,E,5,E,PHILLIPSBURG,39.75,-99.2259,39.75,-99.2259,"","Late on this Friday afternoon and early evening, a pair of isolated, southeast-tracking severe storms with transient supercell characteristics developed along a cold front within this six-county North Central Kansas area, yielding a handful of penny to golf ball size hail reports and one marginally-severe wind report within Phillips, Osborne and Smith counties. ||The first of these storms started bubbling over northeastern Phillips County around 4 p.m. CDT and eventually intensified to severe levels between Phillipsburg and Kirwin, resulting in hail up to half dollar size during the 5-6 p.m. CDT time frame. After briefly weakening as it approached northwestern Osborne County, this storm re-intensified over southwestern portions of the county between 6:30-7:30 pm. CDT, dropping quarter size stones north of Natoma before exiting the local area southward into central Kansas. The second storm to affect the local area initially breached severe limits in far south central Nebraska before entering northeastern Smith County around 6 p.m. CDT. It remained severe for a short while longer as it tracked through rural areas between the state line and Lebanon, producing penny to golf ball size hail and estimated 60 MPH winds. By 7 p.m. CDT, this storm had weakened and soon dissipated over Jewell County. These were the only two storms to affect this North Central Kansas  area on this day, and the remainder of the evening/night remained storm-free. In the mid-upper levels, the main driving force for this event was a broad shortwave trough sinking southeast across the Dakotas into eastern Nebraska over the course of the afternoon and evening. This wave was embedded within strengthening northwesterly flow aloft, with the Central Plains residing on the downstream side of a pronounced western CONUS ridge. At the surface, the aforementioned cold front extended along a line from southwest Kansas to northeast Nebraska around the time of storm development, trailing well-southward from a weak low pressure center in eastern North Dakota. Near and ahead of this boundary, modestly-unstable conditions were noted over North Central Kansas as temperatures warmed into the mid-80s F and dewpoints averaged in the upper-50s to low-60s, promoting mixed-layer CAPE up to around 1500 J/kg in the presence of deep-layer wind shear up to 35 knots.",10
